Run Number,V2 (m/s),Se2 (deg),Sa2 (deg),V1.5 (m/s),V3.0 (m/s),V6.0 (m/s),V12.0 (m/s),T1.5 (degC),T3.0 (degC),T6.0 (degC),T12.0 (degC)
1,2.17,11.2,30.4,-99,-99,-99,-99,-99,-99,-99,-99
2,4.04,6.1,17.6,-99,-99,-99,-99,-99,-99,-99,-99
3,2.84,5.3,12.5,-99,-99,-99,-99,-99,-99,-99,-99
4,2.62,10.8,31.5,-99,-99,-99,-99,-99,-99,-99,-99
5,5.25,4.6,13.9,-99,-99,-99,-99,-99,-99,-99,-99
6,4.21,4.9,15.5,3.73,4.34,4.7,5,4,3.73,3.59,3.38
7,8.76,4,8.4,7.94,9.21,10.3,-99,6,5.69,5.43,5.18
8,3.86,5.7,19.8,3.53,4.04,4.39,4.59,2.2,1.91,1.58,1.44
9,7.46,-99,11,6.77,7.79,8.65,9.46,0.4,0.1,-0.15,-0.41
10,7.12,-99,16.6,6.77,7.84,8.65,9.56,5.1,4.91,4.78,4.61
11,7.76,-99,13,7.08,8.24,8.95,9.71,6,6.01,6.02,5.99
12,4.3,5.1,18.6,3.99,4.49,4.85,5.2,5.9,5.48,5.17,4.8
13,9.2,-99,15.3,9.31,10.73,11.69,12.63,4,3.92,3.89,3.81
14,4.38,5.1,22,4.39,4.9,5.25,5.61,3.8,3.32,3.04,2.7
15,4.46,5.2,25.9,4.44,4.9,5.35,5.71,12.75,12.3,12.01,11.76
16,4.56,7.4,12.8,4.7,5.35,5.91,6.47,6.8,7.07,7.23,7.36
17,2.4,6.7,9.5,2.26,2.92,3.23,3.48,6.8,7.3,7.61,7.85
18,2.94,5.5,10.8,2.62,-99,3.63,4.09,15,15.17,15.26,15.31
19,2.71,5.9,11.8,2.47,-99,3.43,3.78,17,17.14,17.22,17.29
20,1.87,4,8.5,1.76,2.11,2.52,2.97,17,17.23,17.4,17.54
21,1.49,4.2,7.7,1.48,1.76,2.21,2.65,13.2,13.31,13.39,13.45
22,1.79,2.8,5.9,1.64,2.13,2.65,3.13,9.7,10.09,10.33,10.55
23,1.74,3.1,7.5,1.84,1.94,2.42,2.7,3.9,4.18,4.41,4.6
24,1.98,1.8,5.1,1.93,2.1,2.69,3.43,5.7,6.57,6.91,7.32
25,1.63,1.7,6.8,1.55,1.89,2.47,2.91,4.5,6.39,7.03,7.43
26,2.79,5.5,10.6,2.7,2.94,3.33,3.75,11,11.17,11.26,11.32
27,3.32,5.8,13.8,3.51,3.85,4.26,4.52,11.5,11.59,11.6,11.59
28,1.79,2.9,8.9,1.85,2.05,2.55,2.76,5.1,5.53,5.76,5.9
29,1.78,3.2,6.8,1.72,2.06,2.62,3.11,2.6,3.02,3.29,3.44
