Run,V(m/s),Sa(deg),V1.5,V3.0,V6.0,V12.0,T1.5,T3.0,T6.0,T12.0
1,2.14,8.4,2.52,2.87,3.28,3.78,12.12,12.51,12.73,12.94
2,5.15,16.5,5.36,6.12,6.57,6.98,20,19.54,19.33,18.97
3,3,12.9,3.19,3.57,3.97,4.34,14.92,15.12,15.24,15.3
4,3.98,16.7,3.99,4.44,4.85,5.05,13.4,13.27,13.19,13.09
5,1.65,9.2,-99,2.11,2.46,2.82,4.45,4.86,5.09,5.25
6,2.61,11.8,2.88,1.27,3.61,3.97,11.6,11.87,12.04,12.13
7,3.86,13.5,4.04,4.7,5.2,5.78,7.6,7.79,7.92,8.04
8,3.31,12.8,3.53,4.04,4.49,5,4.3,4.46,4.56,4.62
9,4.39,13.1,4.29,4.8,5.2,5.46,2.95,2.49,2.27,1.98
10,4.07,20.7,4.04,4.7,5.1,5.46,3.75,3.37,3.16,2.93
