Run 1
Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),10-min Concentrations (mg/m3) 50,10-min Concentrations (mg/m3) 100,10-min Concentrations (mg/m3) 200,2-Post Number,3-min Concentrations (mg/m3) 50,3-min Concentrations (mg/m3) 100,3-min Concentrations (mg/m3) 200,3-Post Number,0.5-min Concentrations (mg/m3) 50,0.5-min Concentrations (mg/m3) 100,0.5-min Concentrations (mg/m3) 200,4-Post Number,Height (m),10-min Vertical Samples Concentrations (mg/m3) 50,10-min Vertical Samples Concentrations (mg/m3) 100,10-min Vertical Samples Concentrations (mg/m3) 200
37,1.5,76.5,,,,,37,,,,37,,,,,,,,
37,1.5,76.5,,,,,37,,,,37,,,,,,,,
38,1.5,78,0.42,,,,38,,,,38,,,,,,,,
39,1.5,79.5,,,,,39,,,,39,,,,,,,,
40,1.5,81,,,,,40,,,,40,,,,,,,,
41,1.5,82.5,,,,,41,,,,41,,,,,,,,
42,1.5,84,,,,,42,,,,42,,,,,,,,
43,1.5,85.5,,,,,43,,,,43,,,,,,,,
44,1.5,87,,,,,44,,,,44,,,,,,,,
45,1.5,88.5,,,,,45,,,,45,,,,,,,,
46,1.5,90,,,,,46,,,,46,,,,,,,,
47,1.5,91.5,,,,,47,,,,47,,,,,,,,
48,1.5,93,0.42,,,,48,,,,48,,,,,,,,
49,1.5,94.5,,,,,49,,,,49,,,,,,,,
50,1.5,96,1.67,,,,50,,,,50,,,,,,,,
51,1.5,97.5,,,,,51,,,,51,,,,,,,,
52,1.5,99,,0.63,,,52,,,,52,,,,,,,,
53,1.5,100.5,,,,,53,,,,53,,,,,,,,
54,1.5,102,2.91,5.45,,,54,0.603,,,54,,,,,,,,
55,1.5,103.5,,,,,55,2.93,,,55,,,,,,,,
56,1.5,105,3.75,29.2,0.672,,56,9.8,,,56,4.54,,,56,2.5,19.6,1.93,
57,1.5,106.5,,,,,57,28.0,0.28,,57,14.3,,,,1,40.9,,
58,1.5,108,3.33,138,8.12,,58,83.0,1.31,,58,47.2,5.2,,,0.5,49.3,0.182,
59,1.5,109.5,,,,,59,160.0,3.67,0.357,59,92.2,7.6,,,,,,
60,1.5,111,9.58,282,50.5,1.8,60,272.0,16.9,0.343,60,173.0,22.2,,,,,,
61,1.5,112.5,,,,,61,377.0,57,1,61,348.0,89.2,,,,,,
62,1.5,114,14.17,457,141,20.7,62,533.0,151,7.97,62,490.0,142,,,,,,
63,1.5,115.5,,,,,63,580.0,269,27.3,63,618.0,224,,,,,,
64,1.5,117,12.92,471,270,74.8,64,620.0,257,78,64,808.0,228,2.14,,,,,
65,1.5,118.5,,,,,65,663.0,383,131,65,822.0,376,8.2,,,,,
66,1.5,120,25.42,450,285,117.0,66,643.0,343,123,66,846.0,412,20.0,66,2.5,265,174.0,91.2
67,1.5,121.5,,,,,67,650.0,240,75.7,67,1088.0,398,33.2,,1,510,,
68,1.5,123,8.33,437,190,54.9,68,540.0,200,35.7,68,788.0,410,38.4,,0.5,520,374.0,129
69,1.5,124.5,,,,,69,390.0,120,15.9,69,610.0,316,35.2,,,,,
70,1.5,126,6.25,257,53.9,5.96,70,298.0,53,5.33,70,506.0,161,20.0,,,,,
71,1.5,127.5,,,,,71,198.0,13.4,1.23,71,258.0,50,4.68,,,,,
72,1.5,129,5,85,6.15,0.231,72,125.0,3.83,0.383,72,121.0,18.4,,,,,,
73,1.5,130.5,,,,,73,66.3,,,73,23.2,1.36,,,,,,
74,1.5,132,2.91,24.5,0.752,,74,27.4,,,74,2.22,,,,,,,
75,1.5,133.5,,,,,75,5.43,,,75,3.54,,,,,,,
76,1.5,135,0.83,1.68,0.106,,76,3.1,,,76,,,,76,2.5,2.45,0.031,
77,1.5,136.5,,,,,77,0.56,,,77,,,,,1,2.19,,
78,1.5,138,1.25,,,,78,,,,78,,,,,0.5,1.66,4.15,
79,1.5,139.5,,,,,79,,,,79,,,,,,,,
80,1.5,141,0.42,,,,80,,,,80,,,,,,,,
81,1.5,142.5,,,,,81,,,,81,,,,,,,,
82,1.5,144,0.42,,,,82,,,,82,,,,,,,,
83,1.5,145.5,,,,,83,,,,83,,,,,,,,
Run 2
23,1.5,55.5,,,,,23,,,,23,,,,,,,,
24,1.5,57,0.42,0.092,,,24,,,,24,,,,,,,,
25,1.5,58.5,,,,,25,,,,25,,,,,,,,
26,1.5,60,,2.54,,,26,,,,26,,,,26,2.5,2.54,,
27,1.5,61.5,,,,,27,,,,27,,,,,1,1.74,,
28,1.5,63,0.42,4.59,0.117,,28,0.467,0.363,,28,,,,,0.5,1.49,,
29,1.5,64.5,,,,,29,0.643,0.66,,29,,,,,,,,
30,1.5,66,1.66,14.2,0.655,,30,2.87,1.38,,30,,,,,,,,
31,1.5,67.5,,,,,31,6.8,1.31,0.257,31,,,,,,,,
32,1.5,69,2.49,29.9,2.38,0.252,32,13.3,1.34,0.517,32,,,,,,,,
33,1.5,70.5,,,,,33,21.3,2.08,0.88,33,,,,,,,,
34,1.5,72,2.07,52.2,7.68,0.852,34,24.1,2.64,1.45,34,,,,,,,,
35,1.5,73.5,,,,,35,32.5,3.97,1.78,35,,,,,,,,
36,1.5,75,1.66,68.1,10.8,1.78,36,45.3,6.1,1.75,36,,,,36,2.5,52.8,11.6,1.52
37,1.5,76.5,,,,,37,71.0,7.9,2.91,37,1.3,,,,1,71.5,,
38,1.5,78,4.98,76.9,16.6,2.73,38,78.7,13.1,3.31,38,6.06,,,,0.5,73.7,10.5,1.7
39,1.5,79.5,,,,,39,76.7,16.5,3.93,39,7.86,,,,,,,
40,1.5,81,4.56,85.1,19.9,3.79,40,105.0,14.9,3.77,40,8.46,,,,,,,
41,1.5,82.5,,,,,41,139.0,21.7,3.05,41,10.7,,,,,,,
42,1.5,84,6.64,93.1,21.4,4.85,42,146.0,25.7,3.8,42,10.1,,,,,,,
43,1.5,85.5,,,,,43,128.0,27,4.87,43,16.9,,,,,,,
44,1.5,87,4.56,89.8,22.8,5.44,44,116.0,24.9,5.03,44,22.1,,,,,,,
45,1.5,88.5,,,,,45,102.0,25.6,5.73,45,21.2,,,,,,,
46,1.5,90,5.81,162,21.9,4.89,46,93.7,29.5,6,46,22.8,,,46,2.5,81.6,19.7,4.77
47,1.5,91.5,,,,,47,95.0,31.1,6,47,15.9,,,,1,105,,
48,1.5,93,7.88,115,23,5.75,48,84.7,29.5,6.27,48,16.9,,1.28,,0.5,110,23.3,4.52
49,1.5,94.5,,,,,49,69.7,24.6,5.2,49,16.9,1.88,1.22,,,,,
50,1.5,96,5.39,103,22.5,5.5,50,58.0,20.1,6.53,50,22.1,3.3,0.98,,,,,
51,1.5,97.5,,,,,51,51.3,18.5,6.5,51,22.8,3.72,2.38,,,,,
52,1.5,99,6.22,97.7,22.1,5.74,52,47.7,22,6.8,52,23.8,8.04,5.66,,,,,
53,1.5,100.5,,,,,53,52.7,23.6,7.1,53,56.4,8.04,13.6,,,,,
54,1.5,102,8.71,110,20.5,5.68,54,61.7,24.1,7.6,54,68.4,10.2,19.2,,,,,
55,1.5,103.5,,,,,55,66.7,22,7.4,55,111.0,18.4,19.2,,,,,
56,1.5,105,9.54,94.9,18.6,4.69,56,72.3,21.7,7.4,56,124.0,34.5,16.0,56,2.5,79,19.0,4.04
57,1.5,106.5,,,,,57,71.3,19.1,6.13,57,176.0,57.5,15.6,,1,98.6,,
58,1.5,108,6.22,65.8,19.9,3.59,58,86.0,18.1,3.83,58,210.0,62.1,10.6,,0.5,110,19.9,4.66
59,1.5,109.5,,,,,59,69.7,16.2,3.05,59,196.0,47.7,5.36,,,,,
60,1.5,111,2.49,40.9,12.1,1.92,60,42.0,12.1,1.68,60,135.0,34.1,5.36,,,,,
61,1.5,112.5,,,,,61,28.5,7.3,0.75,61,101.0,15.3,9.8,,,,,
62,1.5,114,2.07,30.5,9.5,2.28,62,21.5,4.63,0.257,62,79.0,7.54,1.64,,,,,
63,1.5,115.5,,,,,63,16.9,1.91,0.243,63,70.2,1.82,1.54,,,,,
64,1.5,117,2.91,30.7,7.53,1.66,64,10.7,1.41,,64,44.6,2.5,0.52,,,,,
65,1.5,118.5,,,,,65,5.83,0.62,,65,19.8,,0.96,,,,,
66,1.5,120,4.15,18.1,4.53,1.07,66,2.2,0.187,,66,11.8,,2.36,66,2.5,17.4,4.73,1.09
67,1.5,121.5,,,,,67,0.693,,,67,1.66,,,,1,20.1,,
68,1.5,123,3.32,9.51,1.89,1.26,68,,,,68,,,,,0.5,22.3,5.43,1.56
69,1.5,124.5,,,,,69,,,,69,,,,,,,,
70,1.5,126,1.25,6.73,1.87,0.841,70,,,,70,,,,,,,,
71,1.5,127.5,,,,,71,,,,71,,,,,,,,
72,1.5,129,1.25,3.95,1.73,0.491,72,,,,72,,,,,,,,
73,1.5,130.5,,,,,73,,,,73,,,,,,,,
74,1.5,132,0.83,7.51,2.49,0.301,74,,,,74,,,,,,,,
75,1.5,133.5,,,,,75,,,,75,,,,,,,,
76,1.5,135,1.25,10.6,2.1,0.079,76,,,,76,,,,76,2.5,7.15,1.93,0.077
77,1.5,136.5,,,,,77,,,,77,,,,,1,10.5,,
78,1.5,138,0.42,10.5,0.4,,78,,,,78,,,,,0.5,12.5,1.89,0.036
79,1.5,139.5,,,,,79,,,,79,,,,,,,,
80,1.5,141,0.83,4.39,0.134,,80,,,,80,,,,,,,,
81,1.5,142.5,,,,,81,,,,81,,,,,,,,
82,1.5,144,,1.9,0.046,,82,,,,82,,,,,,,,
83,1.5,145.5,,,,,83,,,,83,,,,,,,,
84,1.5,147,,1.41,,,84,,,,84,,,,,,,,
85,1.5,148.5,,,,,85,,,,85,,,,,,,,
86,1.5,150,,0.077,,,86,,,,86,,,,86,2.5,0.093,,
87,1.5,151.5,,,,,87,,,,87,,,,,1,0.08,,
Run 3
45,1.5,88.5,,,,,45,,,,45,,,,,,,,
46,1.5,90,0.42,,,,46,,,,46,,,,,,,,
47,1.5,91.5,,,,,47,,,,47,,,,,,,,
48,1.5,93,,0.031,,,48,,,,48,,,,,,,,
49,1.5,94.5,,,,,49,,,,49,,,,,,,,
50,1.5,96,1.25,0.486,,,50,,,,50,,,,,,,,
51,1.5,97.5,,,,,51,,,,51,,,,,,,,
52,1.5,99,0.83,0.616,,,52,,,,52,,,,,,,,
53,1.5,100.5,,,,,53,,,,53,,,,,,,,
54,1.5,102,1.25,4.32,,,54,,,,54,,,,,,,,
55,1.5,103.5,,,,,55,,,,55,,,,,,,,
56,1.5,105,2.5,11.9,0.203,,56,0.493,,,56,2.7,,,56,2.5,11.7,0.218,
57,1.5,106.5,,,,,57,4.33,0.557,,57,15.8,,,,1,10.7,,
58,1.5,108,3.33,21.1,1.34,0.038,58,5.1,0.383,0.103,58,26.2,,,,0.5,9.1,0.211,
59,1.5,109.5,,,,,59,12.2,3.6,0.457,59,42.4,1.1,0.56,,,,,
60,1.5,111,2.5,44.8,4.51,0.266,60,22.6,4.07,0.643,60,87.4,5.18,1.3,,,,,
61,1.5,112.5,,,,,61,19.0,15.3,1.34,61,112.0,27,5.46,,,,,
62,1.5,114,7.5,82.1,21.9,2.08,62,60.3,24.1,3.07,62,185.0,42.4,7.16,,,,,
63,1.5,115.5,,,,,63,77.7,27.2,6.07,63,216.0,39.8,11.4,,,,,
64,1.5,117,5.42,121,36.6,8.3,64,81.3,24.6,9.23,64,173.0,48.8,9.96,,,,,
65,1.5,118.5,,,,,65,115.0,33.3,16.2,65,197.0,69.2,16.2,,,,,
66,1.5,120,9.17,154,56.6,16.3,66,159.0,43.7,18.4,66,200.0,80.4,21.6,66,2.5,107,50.1,14.9
67,1.5,121.5,,,,,67,200.0,51,18.1,67,218.0,92.2,27.0,,1,189,,
68,1.5,123,5,238,69.8,20.4,68,235.0,72,16,68,173.0,107,27.8,,0.5,211,62.4,16.3
69,1.5,124.5,,,,,69,324.0,83.7,9.83,69,246.0,114,14.6,,,,,
70,1.5,126,10,262,73.9,22.3,70,360.0,87.3,12.7,70,232.0,105,6.32,,,,,
71,1.5,127.5,,,,,71,350.0,77.7,18.8,71,115.0,52.2,4.1,,,,,
