Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Corrected_10-min Concentrations (mg/m3) 50,Corrected_10-min Concentrations (mg/m3) 100,Corrected_10-min Concentrations (mg/m3) 200,Corrected_3-min Concentrations (mg/m3) 50,Corrected_3-min Concentrations (mg/m3) 100,Corrected_3-min Concentrations (mg/m3) 200,Corrected_0.5-min Concentrations (mg/m3) 50,Corrected_0.5-min Concentrations (mg/m3) 100,Corrected_0.5-min Concentrations (mg/m3) 200,10-min Vertical Samples Concentrations (mg/m3) 50,10-min Vertical Samples Concentrations (mg/m3) 100,10-min Vertical Samples Concentrations (mg/m3) 200
1.0,37.0,1.5,76.5,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,37.0,1.5,76.5,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,38.0,1.5,78.0,0.42,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,39.0,1.5,79.5,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,40.0,1.5,81.0,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,41.0,1.5,82.5,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,42.0,1.5,84.0,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,43.0,1.5,85.5,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,44.0,1.5,87.0,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,45.0,1.5,88.5,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
