Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Distance,Concentration (mg/m3)
1.0,37.0,1.5,76.5,4.2735,4.8,100,25.163
1.0,37.0,1.5,76.5,4.2735,4.8,100,25.163
1.0,37.0,1.5,76.5,4.2735,4.8,200,8.0242
1.0,37.0,1.5,76.5,4.2735,4.8,200,8.0242
1.0,37.0,1.5,76.5,4.2735,4.8,50,69.392
1.0,37.0,1.5,76.5,4.2735,4.8,50,69.392
1.0,38.0,1.5,78.0,0.42,4.8,100,25.163
1.0,38.0,1.5,78.0,0.42,4.8,200,8.0242
1.0,38.0,1.5,78.0,0.42,4.8,50,69.392
1.0,39.0,1.5,79.5,4.2735,4.8,100,25.163
1.0,39.0,1.5,79.5,4.2735,4.8,200,8.0242
1.0,39.0,1.5,79.5,4.2735,4.8,50,69.392
1.0,40.0,1.5,81.0,4.2735,4.8,100,25.163
1.0,40.0,1.5,81.0,4.2735,4.8,200,8.0242
1.0,40.0,1.5,81.0,4.2735,4.8,50,69.392
1.0,41.0,1.5,82.5,4.2735,4.8,100,25.163
1.0,41.0,1.5,82.5,4.2735,4.8,200,8.0242
1.0,41.0,1.5,82.5,4.2735,4.8,50,69.392
1.0,42.0,1.5,84.0,4.2735,4.8,100,25.163
1.0,42.0,1.5,84.0,4.2735,4.8,200,8.0242
1.0,42.0,1.5,84.0,4.2735,4.8,50,69.392
1.0,43.0,1.5,85.5,4.2735,4.8,100,25.163
1.0,43.0,1.5,85.5,4.2735,4.8,200,8.0242
1.0,43.0,1.5,85.5,4.2735,4.8,50,69.392
1.0,44.0,1.5,87.0,4.2735,4.8,100,25.163
1.0,44.0,1.5,87.0,4.2735,4.8,200,8.0242
1.0,44.0,1.5,87.0,4.2735,4.8,50,69.392
1.0,45.0,1.5,88.5,4.2735,4.8,100,25.163
1.0,45.0,1.5,88.5,4.2735,4.8,200,8.0242
1.0,45.0,1.5,88.5,4.2735,4.8,50,69.392
1.0,46.0,1.5,90.0,4.2735,4.8,100,25.163
1.0,46.0,1.5,90.0,4.2735,4.8,200,8.0242
1.0,46.0,1.5,90.0,4.2735,4.8,50,69.392
1.0,47.0,1.5,91.5,4.2735,4.8,100,25.163
1.0,47.0,1.5,91.5,4.2735,4.8,200,8.0242
1.0,47.0,1.5,91.5,4.2735,4.8,50,69.392
1.0,48.0,1.5,93.0,0.42,4.8,100,25.163
1.0,48.0,1.5,93.0,0.42,4.8,200,8.0242
1.0,48.0,1.5,93.0,0.42,4.8,50,69.392
1.0,49.0,1.5,94.5,4.2735,4.8,100,25.163
1.0,49.0,1.5,94.5,4.2735,4.8,200,8.0242
1.0,49.0,1.5,94.5,4.2735,4.8,50,69.392
