Run 1
Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Concentrations (mg/m3) 50,Concentrations (mg/m3) 100,Concentrations (mg/m3) 200
7,18,43,NaN,NaN,NaN,NaN
8,21,46,NaN,NaN,NaN,NaN
9,24,49,NaN,NaN,NaN,0.010
10,27,52,0.420,NaN,NaN,0.015
11,30,55,NaN,NaN,NaN,0.005 
12,33,58,NaN,NaN,NaN,NaN
13,36,61,NaN,NaN,NaN,0.015
14,39,64,0.420,0.035,NaN,0.005
15,42,67,0.420,0.040,NaN,0.015
16,45,70,0.420,0.040,NaN,0.015
17,48,73,0.830,0.750,0.015,0.015
18,51,76,0.420,0.145,0.040,0.015
19,54,79,1.240,0.140,0.040,0.010
20,57,82,0.830,0.305,0.055,0.010
21,60,85,1.240,0.315,0.095,0.025
22,63,88,NaN,0.185,0.040,0.025
23,66,91,1.660,0.185,0.065,0.005
24,69,94,0.830,0.355,0.065,0.025
25,72,97,1.660,0.440,0.085,0.035
26,75,100,0.420,0.360,0.095,0.040
27,78,103,0.830,0.300,0.065,0.040
28,81,106,0.830,0.265,0.065,0.035
29,84,109,1.240,0.215,0.045,0.035
30,87,112,0.830,0.195,0.070,0.020
31,90,115,1.240,0.165,0.030,0.030
32,93,118,2.490,0.215,0.035,0.015
33,96,121,0.420,0.235,0.045,0.025
34,99,124,2.900,0.255,0.055,0.035
35,102,127,2.900,0.385,0.075,0.040
36,105,130,2.070,0.370,0.090,0.035
37,108,133,1.240,0.435,0.100,0.045
38,111,136,2.900,0.375,0.075,0.040
39,114,139,1.240,0.400,0.060,0.040
40,117,142,2.070,0.395,0.075,0.050
41,120,145,4.980,0.425,0.085,0.030
42,123,148,4.560,0.480,0.100,0.035
43,126,151,4.980,0.985,0.150,0.030
44,129,154,7.060,0.830,0.165,0.015
45,132,157,6.230,0.940,0.220,0.030
46,135,160,2.900,0.940,0.160,0.035
47,138,163,5.400,1.130,0.050,0.020
48,141,166,10.790,1.040,0.055,0.015
49,144,169,4.150,0.755,0.035,0.005
50,147,172,2.490,0.595,0.020,0.005
51,150,175,2.900,0.370,0.065,0.005
52,153,178,2.070,0.240,NaN,NaN
53,156,181,0.420,0.065,NaN,NaN
54,159,184,1.660,0.015,NaN,NaN
55,162,187,NaN,NaN,NaN,NaN
56,165,190,NaN,NaN,NaN,NaN
57,168,193,0.420,NaN,NaN,NaN
58,171,196,2.070,NaN,NaN,NaN
59,174,199,NaN,NaN,NaN,NaN
60,177,202,NaN,NaN,NaN,NaN
61,180,205,0.420,NaN,NaN,NaN
62,183,208,1.490,NaN,NaN,NaN
Run 2
31,90,115,NaN,NaN,NaN,NaN
32,93,118,0.420,NaN,NaN,NaN
33,96,121,0.420,0.040,NaN,NaN
34,99,124,0.420,0.130,NaN,NaN
35,102,127,0.420,0.160,0.025,NaN
36,105,130,0.830,0.365,0.130,0.015
37,108,133,1.660,0.435,0.165,0.020
38,111,136,0.830,0.935,0.225,0.050
39,114,139,1.660,1.820,0.365,0.060
40,117,142,4.560,3.230,0.605,0.140
41,120,145,5.810,4.930,1.140,0.280
42,123,148,7.470,6.150,1.920,0.320
43,126,151,7.880,7.050,2.060,0.460
44,129,154,9.130,6.760,1.950,0.430
45,132,157,6.220,6.240,1.450,0.320
46,135,160,4.150,4.410,1.580,0.335
47,138,163,7.050,3.650,1.250,0.280
48,141,166,5.400,4.290,0.980,0.270
49,144,169,4.560,3.970,0.725,0.155
50,147,172,6.640,3.160,0.695,0.135
51,150,175,2.490,2.080,0.685,0.115
52,153,178,4.150,1.970,0.685,0.145
53,156,181,3.730,1.800,0.585,0.090
54,159,184,4.560,1.560,0.285,0.060
55,162,187,2.490,1.290,0.255,0.015
56,165,190,0.830,0.580,0.200,NaN
57,168,193,1.660,0.605,0.130,NaN
58,171,196,1.240,0.985,0.055,NaN
59,174,199,1.240,1.090,0.015,NaN
60,177,202,0.830,0.770,0.005,NaN
61,180,205,0.830,0.335,0.005,NaN
62,183,208,0.420,NaN,NaN,NaN
Run 3
26,75,100,NaN,NaN,NaN,NaN
27,78,103,NaN,0.050,NaN,NaN
28,81,106,NaN,NaN,NaN,NaN
29,84,109,NaN,0.075,NaN,NaN
30,87,112,NaN,0.075,NaN,NaN
31,90,115,1.660,0.420,NaN,NaN
32,93,118,1.240,1.450,NaN,NaN
33,96,121,1.240,2.220,NaN,NaN
34,99,124,1.660,5.450,0.140,0.055
35,102,127,4.560,11.200,0.770,NaN
36,105,130,4.150,19.000,1.590,0.085
37,108,133,8.710,20.600,3.430,0.055
38,111,136,9.550,21.500,5.500,0.300
39,114,139,9.550,27.200,7.160,0.850
40,117,142,5.810,27.000,7.150,1.920
41,120,145,11.620,24.900,6.800,2.290
42,123,148,9.550,28.300,8.920,2.290
43,126,151,7.880,28.700,9.890,2.160
44,129,154,7.880,25.300,8.080,2.240
45,132,157,4.980,22.900,6.020,1.800
46,135,160,3.730,13.800,3.590,0.970
47,138,163,3.320,7.300,1.920,0.340
48,141,166,2.490,4.180,0.650,0.055
49,144,169,0.420,1.180,0.240,NaN
50,147,172,NaN,0.220,0.050,0.240
51,150,175,NaN,0.040,0.020,0.090
52,153,178,NaN,0.040,NaN,0.005
53,156,181,NaN,NaN,NaN,0.015
54,159,184,NaN,0.015,NaN,0.010
55,162,187,NaN,0.075,0.140,0.005
56,165,190,NaN,0.025,0.100,NaN
57,168,193,NaN,NaN,0.120,0.015
58,171,196,NaN,NaN,NaN,0.060
59,174,199,NaN,NaN,NaN,0.115
60,177,202,NaN,NaN,0.100,0.110
61,180,205,NaN,NaN,NaN,0.160
62,183,208,NaN,NaN,NaN,NaN 
Run 4
10,27,52,NaN,NaN,NaN,NaN
11,30,55,0.420,NaN,NaN,NaN
12,33,58,NaN,NaN,NaN,NaN
13,36,61,NaN,0.120,NaN,NaN
14,39,64,NaN,0.540,0.035,NaN
15,42,67,NaN,0.720,0.050,NaN
16,45,70,NaN,1.460,0.070,NaN
17,48,73,1.240,1.840,0.110,NaN
18,51,76,0.420,1.130,0.260,NaN
19,54,79,1.240,1.020,0.390,NaN
20,57,82,0.420,1.420,0.460,0.040
21,60,85,1.660,1.860,0.630,0.075
22,63,88,0.420,3.510,1.240,0.100
23,66,91,2.490,5.320,1.130,0.150
24,69,94,5.810,6.630,0.920,0.150
25,72,97,4.980,5.880,1.300,0.150
26,75,100,4.150,5.000,1.090,0.210
27,78,103,4.980,5.280,0.920,0.250
28,81,106,4.980,5.470,1.030,0.110
29,84,109,2.900,4.810,0.760,0.100
30,87,112,4.150,3.930,0.720,0.150
31,90,115,5.400,3.610,1.380,0.100
32,93,118,2.070,4.000,1.050,0.140
33,96,121,2.900,5.190,1.330,0.220
34,99,124,7.060,4.360,1.030,0.210
35,102,127,2.070,2.560,0.890,0.140
36,105,130,2.070,2.360,0.980,0.170
37,108,133,0.830,2.820,0.800,0.190
38,111,136,2.900,3.120,0.750,0.160
39,114,139,2.490,2.690,0.570,0.100
40,117,142,1.660,2.980,0.570,0.080
41,120,145,3.730,3.080,0.620,0.045
42,123,148,2.490,2.280,0.640,0.030
43,126,151,1.240,2.890,0.720,0.050
44,129,154,2.070,2.550,0.870,0.040
45,132,157,0.830,2.080,0.790,0.050
46,135,160,2.490,2.530,0.770,0.030
47,138,163,2.490,2.390,0.800,NaN
48,141,166,2.900,2.160,0.480,NaN
49,144,169,1.660,1.740,0.130,NaN
50,147,172,0.420,1.740,0.025,NaN
51,150,175,1.660,1.490,0.015,NaN
52,153,178,0.420,1.450,NaN,NaN
53,156,181,0.420,0.970,NaN,NaN
54,159,184,2.070,0.970,NaN,NaN
55,162,187,0.830,0.790,NaN,NaN
56,165,190,1.240,0.390,NaN,NaN
57,168,193,0.830,0.270,NaN,NaN
58,171,196,1.240,0.100,NaN,NaN
59,174,199,0.420,0.065,NaN,NaN
60,177,202,0.420,NaN,NaN,NaN
61,180,205,NaN,NaN,NaN,NaN
62,183,208,0.420,NaN,NaN,NaN
Run 5
33,96,121,NaN,NaN,NaN,NaN
34,99,124,NaN,NaN,NaN,NaN
35,102,127,NaN,0.015,NaN,NaN
36,105,130,NaN,0.065,NaN,NaN
37,108,133,NaN,0.110,0.080,NaN
38,111,136,1.280,0.370,0.115,0.005
39,114,139,2.560,1.040,0.480,0.135
40,117,142,0.850,2.230,0.460,0.190
41,120,145,1.280,2.290,1.030,0.230
42,123,148,2.140,2.010,1.090,0.300
43,126,151,2.990,1.930,0.860,0.260
44,129,154,4.700,2.150,0.570,0.140
45,132,157,3.850,2.980,0.590,0.850
46,135,160,6.840,3.730,0.820,0.095
47,138,163,6.410,6.860,1.580,0.250
48,141,166,9.830,10.300,3.220,0.480
49,144,169,5.130,12.600,3.750,0.730
50,147,172,6.410,13.000,2.970,0.700
51,150,175,10.680,12.400,3.050,0.730
52,153,178,8.970,11.600,3.540,0.950
53,156,181,6.840,12.200,3.150,0.770
54,159,184,8.120,8.860,2.810,0.540
55,162,187,2.140,6.300,2.200,0.410
56,165,190,5.560,4.450,1.410,0.070
57,168,193,2.560,2.750,0.340,NaN
58,171,196,0.430,1.270,0.080,NaN
59,174,199,0.430,0.590,0.020,NaN
60,177,202,NaN,0.230,0.025,NaN
61,180,205,NaN,0.065,0.005,NaN
62,183,208,NaN,NaN,NaN,NaN
Run 6
23,66,91,NaN,NaN,NaN,NaN
24,69,94,NaN,0.130,NaN,NaN
