post,azimuth,wind_direction,concentration,distance
10,52.0,0.42,0.0138,200
14,64.0,0.42,0.03255,50
14,64.0,0.42,0.0046,200
15,67.0,0.42,0.037200000000000004,50
15,67.0,0.42,0.0138,200
16,70.0,0.42,0.037200000000000004,50
16,70.0,0.42,0.0138,200
17,73.0,0.83,0.6975,50
17,73.0,0.83,0.01395,100
17,73.0,0.83,0.0138,200
18,76.0,0.42,0.13485,50
18,76.0,0.42,0.037200000000000004,100
18,76.0,0.42,0.0138,200
19,79.0,1.24,0.1302,50
19,79.0,1.24,0.037200000000000004,100
19,79.0,1.24,0.0092,200
20,82.0,0.83,0.28365,50
20,82.0,0.83,0.05115,100
20,82.0,0.83,0.0092,200
21,85.0,1.24,0.29295000000000004,50
21,85.0,1.24,0.08835000000000001,100
21,85.0,1.24,0.023000000000000003,200
23,91.0,1.66,0.17205,50
23,91.0,1.66,0.060450000000000004,100
23,91.0,1.66,0.0046,200
24,94.0,0.83,0.33015,50
24,94.0,0.83,0.060450000000000004,100
24,94.0,0.83,0.023000000000000003,200
25,97.0,1.66,0.4092,50
25,97.0,1.66,0.07905000000000001,100
25,97.0,1.66,0.032200000000000006,200
26,100.0,0.42,0.3348,50
26,100.0,0.42,0.08835000000000001,100
26,100.0,0.42,0.0368,200
27,103.0,0.83,0.279,50
27,103.0,0.83,0.060450000000000004,100
27,103.0,0.83,0.0368,200
28,106.0,0.83,0.24645000000000003,50
28,106.0,0.83,0.060450000000000004,100
28,106.0,0.83,0.032200000000000006,200
29,109.0,1.24,0.19995000000000002,50
29,109.0,1.24,0.04185,100
29,109.0,1.24,0.032200000000000006,200
30,112.0,0.83,0.18135,50
30,112.0,0.83,0.0651,100
30,112.0,0.83,0.0184,200
31,115.0,1.24,0.15345,50
31,115.0,1.24,0.0279,100
31,115.0,1.24,0.0276,200
32,118.0,2.49,0.19995000000000002,50
32,118.0,2.49,0.03255,100
32,118.0,2.49,0.0138,200
33,121.0,0.42,0.21855,50
33,121.0,0.42,0.04185,100
33,121.0,0.42,0.023000000000000003,200
