post,azimuth,wind_direction,concentration,distance,U,q
10,52,0.42,0.0138,200,2.17,1.0
14,64,0.42,0.03255,50,2.17,1.0
14,64,0.42,0.0046,200,2.17,1.0
15,67,0.42,0.037200000000000004,50,2.17,1.0
15,67,0.42,0.0138,200,2.17,1.0
16,70,0.42,0.037200000000000004,50,2.17,1.0
16,70,0.42,0.0138,200,2.17,1.0
17,73,0.83,0.6975,50,2.17,1.0
17,73,0.83,0.01395,100,2.17,1.0
17,73,0.83,0.0138,200,2.17,1.0
18,76,0.42,0.13485,50,2.17,1.0
18,76,0.42,0.037200000000000004,100,2.17,1.0
18,76,0.42,0.0138,200,2.17,1.0
19,79,1.24,0.1302,50,2.17,1.0
19,79,1.24,0.037200000000000004,100,2.17,1.0
19,79,1.24,0.0092,200,2.17,1.0
20,82,0.83,0.28365,50,2.17,1.0
20,82,0.83,0.05115,100,2.17,1.0
20,82,0.83,0.0092,200,2.17,1.0
21,85,1.24,0.29295000000000004,50,2.17,1.0
21,85,1.24,0.08835000000000001,100,2.17,1.0
21,85,1.24,0.023000000000000003,200,2.17,1.0
22,88,1.45,0.17205,50,2.17,1.0
22,88,1.45,0.037200000000000004,100,2.17,1.0
22,88,1.45,0.023000000000000003,200,2.17,1.0
23,91,1.66,0.17205,50,2.17,1.0
23,91,1.66,0.060450000000000004,100,2.17,1.0
23,91,1.66,0.0046,200,2.17,1.0
24,94,0.83,0.33015,50,2.17,1.0
24,94,0.83,0.060450000000000004,100,2.17,1.0
24,94,0.83,0.023000000000000003,200,2.17,1.0
25,97,1.66,0.4092,50,2.17,1.0
25,97,1.66,0.07905000000000001,100,2.17,1.0
25,97,1.66,0.032200000000000006,200,2.17,1.0
26,100,0.42,0.3348,50,2.17,1.0
26,100,0.42,0.08835000000000001,100,2.17,1.0
26,100,0.42,0.0368,200,2.17,1.0
27,103,0.83,0.279,50,2.17,1.0
27,103,0.83,0.060450000000000004,100,2.17,1.0
27,103,0.83,0.0368,200,2.17,1.0
28,106,0.83,0.24645000000000003,50,2.17,1.0
28,106,0.83,0.060450000000000004,100,2.17,1.0
28,106,0.83,0.032200000000000006,200,2.17,1.0
29,109,1.24,0.19995000000000002,50,2.17,1.0
29,109,1.24,0.04185,100,2.17,1.0
29,109,1.24,0.032200000000000006,200,2.17,1.0
