post,azimuth,wind_direction,concentration,distance,U
54,102.0,2.91,4.905,50,2.14
55,103.5,3.33,15.5925,50,2.14
56,105.0,3.75,26.28,50,2.14
56,105.0,3.75,0.6048,100,2.14
57,106.5,3.54,75.24,50,2.14
57,106.5,3.54,3.9564,100,2.14
58,108.0,3.33,124.2,50,2.14
58,108.0,3.33,7.308,100,2.14
59,109.5,6.455,189.0,50,2.14
59,109.5,6.455,26.378999999999998,100,2.14
60,111.0,9.58,253.8,50,2.14
60,111.0,9.58,45.45,100,2.14
60,111.0,9.58,1.62,200,2.14
61,112.5,11.875,332.55,50,2.14
61,112.5,11.875,86.175,100,2.14
61,112.5,11.875,10.125,200,2.14
62,114.0,14.17,411.3,50,2.14
62,114.0,14.17,126.9,100,2.14
62,114.0,14.17,18.63,200,2.14
63,115.5,13.545,417.6,50,2.14
63,115.5,13.545,184.95000000000002,100,2.14
63,115.5,13.545,42.975,200,2.14
64,117.0,12.92,423.90000000000003,50,2.14
64,117.0,12.92,243.0,100,2.14
64,117.0,12.92,67.32,200,2.14
65,118.5,19.17,414.45,50,2.14
65,118.5,19.17,249.75,100,2.14
65,118.5,19.17,86.31,200,2.14
66,120.0,25.42,405.0,50,2.14
66,120.0,25.42,256.5,100,2.14
66,120.0,25.42,105.3,200,2.14
67,121.5,16.875,399.15000000000003,50,2.14
67,121.5,16.875,213.75,100,2.14
67,121.5,16.875,77.355,200,2.14
68,123.0,8.33,393.3,50,2.14
68,123.0,8.33,171.0,100,2.14
68,123.0,8.33,49.41,200,2.14
69,124.5,7.29,312.3,50,2.14
69,124.5,7.29,109.75500000000001,100,2.14
69,124.5,7.29,27.387,200,2.14
70,126.0,6.25,231.3,50,2.14
70,126.0,6.25,48.51,100,2.14
70,126.0,6.25,5.364,200,2.14
71,127.5,5.625,153.9,50,2.14
71,127.5,5.625,27.0225,100,2.14
71,127.5,5.625,2.78595,200,2.14
72,129.0,5.0,76.5,50,2.14
72,129.0,5.0,5.535,100,2.14
72,129.0,5.0,0.2079,200,2.14
73,130.5,3.955,49.275,50,2.14
73,130.5,3.955,3.1059,100,2.14
74,132.0,2.91,22.05,50,2.14
74,132.0,2.91,0.6768000000000001,100,2.14
75,133.5,1.87,11.781,50,2.14
75,133.5,1.87,0.3861,100,2.14
76,135.0,0.83,1.512,50,2.14
76,135.0,0.83,0.0954,100,2.14
24,57.0,0.42,0.08372,50,5.15
28,63.0,0.42,4.1769,50,5.15
28,63.0,0.42,0.10647000000000001,100,5.15
29,64.5,1.04,8.54945,50,5.15
29,64.5,1.04,0.35126,100,5.15
30,66.0,1.66,12.922,50,5.15
30,66.0,1.66,0.5960500000000001,100,5.15
31,67.5,2.075,20.065499999999997,50,5.15
31,67.5,2.075,1.3809250000000002,100,5.15
32,69.0,2.49,27.209,50,5.15
32,69.0,2.49,2.1658,100,5.15
32,69.0,2.49,0.22932,200,5.15
33,70.5,2.2800000000000002,37.3555,50,5.15
33,70.5,2.2800000000000002,4.577299999999999,100,5.15
33,70.5,2.2800000000000002,0.5023200000000001,200,5.15
34,72.0,2.07,47.502,50,5.15
34,72.0,2.07,6.9888,100,5.15
34,72.0,2.07,0.77532,200,5.15
35,73.5,1.8649999999999998,54.7365,50,5.15
35,73.5,1.8649999999999998,8.4084,100,5.15
35,73.5,1.8649999999999998,1.1975600000000002,200,5.15
36,75.0,1.66,61.971,50,5.15
36,75.0,1.66,9.828000000000001,100,5.15
36,75.0,1.66,1.6198000000000001,200,5.15
37,76.5,3.3200000000000003,65.97500000000001,50,5.15
37,76.5,3.3200000000000003,12.467,100,5.15
37,76.5,3.3200000000000003,2.05205,200,5.15
38,78.0,4.98,69.97900000000001,50,5.15
38,78.0,4.98,15.106000000000002,100,5.15
38,78.0,4.98,2.4843,200,5.15
39,79.5,4.77,73.71000000000001,50,5.15
39,79.5,4.77,16.6075,100,5.15
39,79.5,4.77,2.9666,200,5.15
40,81.0,4.56,77.441,50,5.15
40,81.0,4.56,18.108999999999998,100,5.15
40,81.0,4.56,3.4489,200,5.15
41,82.5,5.6,81.081,50,5.15
41,82.5,5.6,18.7915,100,5.15
41,82.5,5.6,3.9312000000000005,200,5.15
42,84.0,6.64,84.721,50,5.15
42,84.0,6.64,19.474,100,5.15
42,84.0,6.64,4.4135,200,5.15
43,85.5,5.6,83.2195,50,5.15
43,85.5,5.6,20.111,100,5.15
43,85.5,5.6,4.68195,200,5.15
44,87.0,4.56,81.718,50,5.15
44,87.0,4.56,20.748,100,5.15
44,87.0,4.56,4.9504,200,5.15
45,88.5,5.185,114.569,50,5.15
45,88.5,5.185,20.338500000000003,100,5.15
45,88.5,5.185,4.70015,200,5.15
46,90.0,5.81,147.42000000000002,50,5.15
46,90.0,5.81,19.929,100,5.15
46,90.0,5.81,4.4498999999999995,200,5.15
47,91.5,6.845,126.03500000000001,50,5.15
47,91.5,6.845,20.4295,100,5.15
47,91.5,6.845,4.841200000000001,200,5.15
48,93.0,7.88,104.65,50,5.15
48,93.0,7.88,20.93,100,5.15
48,93.0,7.88,5.2325,200,5.15
49,94.5,6.635,99.19,50,5.15
49,94.5,6.635,20.7025,100,5.15
49,94.5,6.635,5.11875,200,5.15
50,96.0,5.39,93.73,50,5.15
50,96.0,5.39,20.475,100,5.15
50,96.0,5.39,5.005,200,5.15
51,97.5,5.805,91.3185,50,5.15
51,97.5,5.805,20.293000000000003,100,5.15
51,97.5,5.805,5.1142,200,5.15
52,99.0,6.22,88.90700000000001,50,5.15
52,99.0,6.22,20.111,100,5.15
52,99.0,6.22,5.223400000000001,200,5.15
53,100.5,7.465,94.5035,50,5.15
53,100.5,7.465,19.383000000000003,100,5.15
53,100.5,7.465,5.1961,200,5.15
54,102.0,8.71,100.10000000000001,50,5.15
54,102.0,8.71,18.655,100,5.15
54,102.0,8.71,5.1688,200,5.15
55,103.5,9.125,93.2295,50,5.15
55,103.5,9.125,17.7905,100,5.15
55,103.5,9.125,4.718350000000001,200,5.15
56,105.0,9.54,86.35900000000001,50,5.15
56,105.0,9.54,16.926000000000002,100,5.15
56,105.0,9.54,4.267900000000001,200,5.15
57,106.5,7.879999999999999,73.1185,50,5.15
57,106.5,7.879999999999999,17.517500000000002,100,5.15
57,106.5,7.879999999999999,3.7674000000000007,200,5.15
58,108.0,6.22,59.878,50,5.15
58,108.0,6.22,18.108999999999998,100,5.15
58,108.0,6.22,3.2669,200,5.15
59,109.5,4.355,48.5485,50,5.15
59,109.5,4.355,14.56,100,5.15
59,109.5,4.355,2.50705,200,5.15
60,111.0,2.49,37.219,50,5.15
60,111.0,2.49,11.011,100,5.15
60,111.0,2.49,1.7472,200,5.15
61,112.5,2.2800000000000002,32.487,50,5.15
61,112.5,2.2800000000000002,9.828000000000001,100,5.15
61,112.5,2.2800000000000002,1.9109999999999998,200,5.15
62,114.0,2.07,27.755000000000003,50,5.15
62,114.0,2.07,8.645,100,5.15
62,114.0,2.07,2.0747999999999998,200,5.15
63,115.5,2.49,27.846000000000004,50,5.15
63,115.5,2.49,7.7486500000000005,100,5.15
63,115.5,2.49,1.7926999999999997,200,5.15
64,117.0,2.91,27.937,50,5.15
64,117.0,2.91,6.8523000000000005,100,5.15
64,117.0,2.91,1.5106,200,5.15
65,118.5,3.5300000000000002,22.204,50,5.15
65,118.5,3.5300000000000002,5.4873,100,5.15
65,118.5,3.5300000000000002,1.24215,200,5.15
66,120.0,4.15,16.471,50,5.15
66,120.0,4.15,4.1223,100,5.15
66,120.0,4.15,0.9737000000000001,200,5.15
67,121.5,3.7350000000000003,12.56255,50,5.15
67,121.5,3.7350000000000003,2.9211,100,5.15
67,121.5,3.7350000000000003,1.0601500000000001,200,5.15
68,123.0,3.32,8.6541,50,5.15
68,123.0,3.32,1.7199,100,5.15
68,123.0,3.32,1.1466,200,5.15
69,124.5,2.285,7.3892000000000015,50,5.15
69,124.5,2.285,1.7107999999999999,100,5.15
69,124.5,2.285,0.955955,200,5.15
70,126.0,1.25,6.124300000000001,50,5.15
70,126.0,1.25,1.7017000000000002,100,5.15
70,126.0,1.25,0.76531,200,5.15
71,127.5,1.25,4.8594,50,5.15
71,127.5,1.25,1.6380000000000001,100,5.15
71,127.5,1.25,0.6060599999999999,200,5.15
72,129.0,1.25,3.5945000000000005,50,5.15
72,129.0,1.25,1.5743,100,5.15
