post,azimuth,wind_direction,concentration,distance,U
10,52.0,0.42,0.0138,200,2.17
14,64.0,0.42,0.03255,50,2.17
14,64.0,0.42,0.0046,200,2.17
15,67.0,0.42,0.0372,50,2.17
15,67.0,0.42,0.0138,200,2.17
16,70.0,0.42,0.0372,50,2.17
16,70.0,0.42,0.0138,200,2.17
17,73.0,0.83,0.6975,50,2.17
17,73.0,0.83,0.01395,100,2.17
17,73.0,0.83,0.0138,200,2.17
18,76.0,0.42,0.13485,50,2.17
18,76.0,0.42,0.0372,100,2.17
18,76.0,0.42,0.0138,200,2.17
19,79.0,1.24,0.1302,50,2.17
19,79.0,1.24,0.0372,100,2.17
19,79.0,1.24,0.0092,200,2.17
20,82.0,0.83,0.28365,50,2.17
20,82.0,0.83,0.05115,100,2.17
20,82.0,0.83,0.0092,200,2.17
21,85.0,1.24,0.29295,50,2.17
21,85.0,1.24,0.08835,100,2.17
21,85.0,1.24,0.023,200,2.17
22,88.0,1.45,0.17205,50,2.17
22,88.0,1.45,0.0372,100,2.17
22,88.0,1.45,0.023,200,2.17
23,91.0,1.66,0.17205,50,2.17
23,91.0,1.66,0.06045,100,2.17
23,91.0,1.66,0.0046,200,2.17
24,94.0,0.83,0.33015,50,2.17
24,94.0,0.83,0.06045,100,2.17
24,94.0,0.83,0.023,200,2.17
25,97.0,1.66,0.4092,50,2.17
25,97.0,1.66,0.07905,100,2.17
25,97.0,1.66,0.0322,200,2.17
26,100.0,0.42,0.3348,50,2.17
26,100.0,0.42,0.08835,100,2.17
26,100.0,0.42,0.0368,200,2.17
27,103.0,0.83,0.279,50,2.17
27,103.0,0.83,0.06045,100,2.17
27,103.0,0.83,0.0368,200,2.17
28,106.0,0.83,0.24645,50,2.17
28,106.0,0.83,0.06045,100,2.17
28,106.0,0.83,0.0322,200,2.17
29,109.0,1.24,0.19995,50,2.17
29,109.0,1.24,0.04185,100,2.17
29,109.0,1.24,0.0322,200,2.17
30,112.0,0.83,0.18135,50,2.17
30,112.0,0.83,0.0651,100,2.17
30,112.0,0.83,0.0184,200,2.17
31,115.0,1.24,0.15345,50,2.17
31,115.0,1.24,0.0279,100,2.17
31,115.0,1.24,0.0276,200,2.17
32,118.0,2.49,0.19995,50,2.17
32,118.0,2.49,0.03255,100,2.17
32,118.0,2.49,0.0138,200,2.17
33,121.0,0.42,0.21855,50,2.17
33,121.0,0.42,0.04185,100,2.17
33,121.0,0.42,0.023,200,2.17
34,124.0,2.9,0.23715,50,2.17
34,124.0,2.9,0.05115,100,2.17
34,124.0,2.9,0.0322,200,2.17
35,127.0,2.9,0.35805,50,2.17
35,127.0,2.9,0.06975,100,2.17
35,127.0,2.9,0.0368,200,2.17
36,130.0,2.07,0.3441,50,2.17
36,130.0,2.07,0.0837,100,2.17
36,130.0,2.07,0.0322,200,2.17
37,133.0,1.24,0.40455,50,2.17
37,133.0,1.24,0.093,100,2.17
37,133.0,1.24,0.0414,200,2.17
38,136.0,2.9,0.34875,50,2.17
38,136.0,2.9,0.06975,100,2.17
38,136.0,2.9,0.0368,200,2.17
39,139.0,1.24,0.372,50,2.17
39,139.0,1.24,0.0558,100,2.17
39,139.0,1.24,0.0368,200,2.17
40,142.0,2.07,0.36735,50,2.17
40,142.0,2.07,0.06975,100,2.17
40,142.0,2.07,0.046,200,2.17
41,145.0,4.98,0.39525,50,2.17
41,145.0,4.98,0.07905,100,2.17
41,145.0,4.98,0.0276,200,2.17
42,148.0,4.56,0.4464,50,2.17
42,148.0,4.56,0.093,100,2.17
42,148.0,4.56,0.0322,200,2.17
43,151.0,4.98,0.91605,50,2.17
43,151.0,4.98,0.1395,100,2.17
43,151.0,4.98,0.0276,200,2.17
44,154.0,7.06,0.7719,50,2.17
44,154.0,7.06,0.15345,100,2.17
44,154.0,7.06,0.0138,200,2.17
45,157.0,6.23,0.8742,50,2.17
45,157.0,6.23,0.2046,100,2.17
45,157.0,6.23,0.0276,200,2.17
46,160.0,2.9,0.8742,50,2.17
46,160.0,2.9,0.1488,100,2.17
46,160.0,2.9,0.0322,200,2.17
47,163.0,5.4,1.0509,50,2.17
47,163.0,5.4,0.0465,100,2.17
47,163.0,5.4,0.0184,200,2.17
48,166.0,10.79,0.9672,50,2.17
48,166.0,10.79,0.05115,100,2.17
48,166.0,10.79,0.0138,200,2.17
49,169.0,4.15,0.70215,50,2.17
49,169.0,4.15,0.03255,100,2.17
49,169.0,4.15,0.0046,200,2.17
50,172.0,2.49,0.55335,50,2.17
50,172.0,2.49,0.0186,100,2.17
50,172.0,2.49,0.0046,200,2.17
51,175.0,2.9,0.3441,50,2.17
51,175.0,2.9,0.06045,100,2.17
51,175.0,2.9,0.0046,200,2.17
52,178.0,2.07,0.2232,50,2.17
53,181.0,0.42,0.06045,50,2.17
54,184.0,1.66,0.01395,50,2.17
33,121.0,0.42,0.0364,50,4.04
34,124.0,0.42,0.1183,50,4.04
35,127.0,0.42,0.1456,50,4.04
35,127.0,0.42,0.0235,100,4.04
36,130.0,0.83,0.33215,50,4.04
36,130.0,0.83,0.1222,100,4.04
36,130.0,0.83,0.01395,200,4.04
37,133.0,1.66,0.39585,50,4.04
37,133.0,1.66,0.1551,100,4.04
37,133.0,1.66,0.0186,200,4.04
38,136.0,0.83,0.8508500000000001,50,4.04
38,136.0,0.83,0.2115,100,4.04
38,136.0,0.83,0.0465,200,4.04
39,139.0,1.66,1.6562,50,4.04
39,139.0,1.66,0.3430999999999999,100,4.04
39,139.0,1.66,0.0558,200,4.04
40,142.0,4.56,2.9393,50,4.04
40,142.0,4.56,0.5687,100,4.04
40,142.0,4.56,0.1302,200,4.04
41,145.0,5.81,4.4863,50,4.04
41,145.0,5.81,1.0716,100,4.04
41,145.0,5.81,0.2604,200,4.04
42,148.0,7.47,5.596500000000001,50,4.04
42,148.0,7.47,1.8048,100,4.04
42,148.0,7.47,0.2976,200,4.04
43,151.0,7.88,6.4155,50,4.04
43,151.0,7.88,1.9364,100,4.04
43,151.0,7.88,0.4278,200,4.04
44,154.0,9.13,6.1516,50,4.04
44,154.0,9.13,1.833,100,4.04
44,154.0,9.13,0.3999,200,4.04
45,157.0,6.22,5.678400000000001,50,4.04
45,157.0,6.22,1.363,100,4.04
45,157.0,6.22,0.2976,200,4.04
46,160.0,4.15,4.0131000000000006,50,4.04
46,160.0,4.15,1.4852,100,4.04
46,160.0,4.15,0.31155,200,4.04
47,163.0,7.05,3.3215,50,4.04
47,163.0,7.05,1.1749999999999998,100,4.04
47,163.0,7.05,0.2604,200,4.04
48,166.0,5.4,3.9039,50,4.04
48,166.0,5.4,0.9212,100,4.04
48,166.0,5.4,0.2511,200,4.04
49,169.0,4.56,3.6127,50,4.04
49,169.0,4.56,0.6815,100,4.04
49,169.0,4.56,0.14415,200,4.04
50,172.0,6.64,2.8756000000000004,50,4.04
50,172.0,6.64,0.6532999999999999,100,4.04
50,172.0,6.64,0.12555,200,4.04
51,175.0,2.49,1.8928,50,4.04
51,175.0,2.49,0.6439,100,4.04
51,175.0,2.49,0.10695,200,4.04
52,178.0,4.15,1.7927,50,4.04
52,178.0,4.15,0.6439,100,4.04
52,178.0,4.15,0.13485,200,4.04
53,181.0,3.73,1.638,50,4.04
53,181.0,3.73,0.5498999999999999,100,4.04
